pair.no ind1.id ind2.id trioml trioml.low trioml.high
737 72 229 0 0 0.1603
738 72 230 0 0 0.3484
739 72 231 0 0 0.372
740 72 232 0.2436 0 0.5955
741 72 233 0 0 0.1447
742 72 234 0.0256 0 0.3758
743 72 235 0.054 0 0.4247
744 72 236 0 0 0.2875
745 72 237 0.0307 0 0.3738
746 72 239 0.167 0.0096 0.5576
747 72 240 0.0767 0 0.3886
748 72 176 0.0789 0 0.3699
749 72 178 0 0 0.0832
750 72 180 0 0 0.1482
751 72 181 0.0775 0 0.5245
752 72 182 0.0805 0 0.3102
753 72 183 0 0 0.2848
754 72 184 0 0 0.3265
755 72 187 0.0998 0 0.5112
756 72 188 0.062 0 0.3374
757 72 199 0.0296 0 0.2944
758 72 200 0.0032 0 0.1498
759 72 201 0 0 0.4907
760 72 202 0 0 0.1642
761 72 203 0 0 0.3082
762 72 204 0.0807 0 0.354
763 72 205 0 0 0.1841
764 72 210 0 0 0.1455
765 72 211 0.0514 0 0.462
766 72 212 0 0 0.1585
767 72 213 0 0 0.0859
768 72 214 0 0 0
769 72 215 0 0 0.4546
770 72 217 0.0918 0 0.499
771 72 218 0.1089 0 0.3949
772 72 219 0.0514 0 0.4155
773 72 220 0.0287 0 0.3326
774 72 221 0 0 0.1326
775 72 222 0 0 0.2886
776 72 223 0 0 0.2114
777 72 241 0 0 0.1296
778 72 242 0.082 0 0.4519
779 72 245 0 0 0.2969
780 72 246 0.06 0 0.59
781 72 247 0.1135 0 0.3851
782 72 249 0.0338 0 0.3333
783 72 251 0.0276 0 0.2516
784 72 252 0 0 0.206
785 72 253 0.0967 0 0.4475
786 72 255 0.039 0 0.2845
787 72 257 0 0 0.3796
788 72 258 0.0536 0 0.3664
789 72 259 0 0 0.1927
790 72 260 0.0699 0 0.3664
791 72 261 0.071 0 0.2909
792 72 262 0.0364 0 0.3113
793 72 263 0 0 0.2473
794 72 264 0.114 0 0.4509
795 72 265 0 0 0.2477
796 72 266 0.1949 0 0.6485
797 72 267 0.1612 0 0.6671
798 72 268 0 0 0.1131
799 72 277 0 0 0.1615
800 72 332 0.0786 0 0.3376
801 72 278 0.0321 0 0.1824
802 72 279 0.1234 0 0.6044
803 72 280 0 0 0.115
804 72 281 0.0096 0 0.3775
805 72 282 0 0 0.2471
806 72 283 0.0895 0 0.4686
807 72 284 0.0691 0 0.6552
808 72 285 0.1608 0 0.5514
809 72 286 0.0351 0 0.415
810 72 289 0.0289 0 0.2334
811 72 290 0 0 0.2039
812 72 291 0.0344 0 0.3268
813 72 292 0.0517 0 0.3142
814 72 293 0.0418 0 0.2712
815 72 294 0.0306 0 0.2167
816 72 296 0.0238 0 0.3568
