"","iter","comparisons","p.vals"
"432","62","SHANNON_IDX and GRP and LOCUS","0.111709292816043"
"433","62","value and variable and LOCUS","0.0492968977018185"
"434","62","hobs and Bay and locus","0.336659875125563"
"435","63","Hs and GRP and LOCUS","0.013539864232611"
"436","63","EVENNESS and GRP and LOCUS","0.600494040036273"
"437","63","Ht and GRP and LOCUS","0.013539864232611"
"438","63","Fis and GRP and LOCUS","0.945022758337587"
"439","63","SHANNON_IDX and GRP and LOCUS","0.00989926910681374"
"440","63","value and variable and LOCUS","0.0492968977018185"
"441","63","hobs and Bay and locus","0.336659875125563"
"442","64","Hs and GRP and LOCUS","0.0775437841872948"
"443","64","EVENNESS and GRP and LOCUS","0.485521566081148"
"444","64","Ht and GRP and LOCUS","0.0775437841872948"
"445","64","Fis and GRP and LOCUS","0.781616286897203"
"446","64","SHANNON_IDX and GRP and LOCUS","0.0307923201650033"
"447","64","value and variable and LOCUS","0.0492968977018185"
"448","64","hobs and Bay and locus","0.336659875125563"
"449","65","Hs and GRP and LOCUS","0.0722249277936564"
"450","65","EVENNESS and GRP and LOCUS","0.181239851196556"
"451","65","Ht and GRP and LOCUS","0.0722249277936564"
"452","65","Fis and GRP and LOCUS","0.171201256709138"
"453","65","SHANNON_IDX and GRP and LOCUS","0.0779769994664841"
"454","65","value and variable and LOCUS","0.0492968977018185"
"455","65","hobs and Bay and locus","0.336659875125563"
"456","66","Hs and GRP and LOCUS","0.0529223551566082"
"457","66","EVENNESS and GRP and LOCUS","0.0233914865531657"
"458","66","Ht and GRP and LOCUS","0.0529223551566082"
"459","66","Fis and GRP and LOCUS","0.406005849709838"
"460","66","SHANNON_IDX and GRP and LOCUS","0.0271317298611501"
"461","66","value and variable and LOCUS","0.0492968977018185"
"462","66","hobs and Bay and locus","0.336659875125563"
"463","67","Hs and GRP and LOCUS","0.118020246474217"
"464","67","EVENNESS and GRP and LOCUS","0.330854184285252"
"465","67","Ht and GRP and LOCUS","0.118020246474217"
"466","67","Fis and GRP and LOCUS","0.574697205829804"
"467","67","SHANNON_IDX and GRP and LOCUS","0.00713717434483172"
"468","67","value and variable and LOCUS","0.0492968977018185"
"469","67","hobs and Bay and locus","0.336659875125563"
"470","68","Hs and GRP and LOCUS","0.0430316532079032"
"471","68","EVENNESS and GRP and LOCUS","0.0529223551566082"
"472","68","Ht and GRP and LOCUS","0.0430316532079032"
"473","68","Fis and GRP and LOCUS","0.886260168370955"
"474","68","SHANNON_IDX and GRP and LOCUS","0.0214837703764402"
"475","68","value and variable and LOCUS","0.0492968977018185"
"476","68","hobs and Bay and locus","0.336659875125563"
"477","69","Hs and GRP and LOCUS","0.0289061180327211"
"478","69","EVENNESS and GRP and LOCUS","0.253232594350385"
"479","69","Ht and GRP and LOCUS","0.0289061180327211"
