"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"132","Mt_2016_2","PAM21",8,0.80531109545031,0.7059,0.8254,0.8254,0.1448,1.77371963726259,0.79757785467128,4.94017094017094
"133","Mt_2016_2","PSY087",4,0.650274503787414,0.6842,0.5292,0.5292,-0.2928,0.979040410497658,0.519390581717451,2.0806916426513
"134","Mt_2016_2","PSY022",4,0.730573062482211,0.4118,0.5478,0.5478,0.2483,0.927915922167566,0.527681660899654,2.11721611721612
"135","Mt_2016_2","WF12",4,0.780698545021819,0.5556,0.6127,0.6127,0.0933,1.05608321725637,0.594135802469136,2.4638783269962
"136","Mt_2016_2","WF32",13,0.789651919985577,0.7368,0.8991,0.8991,0.1805,2.25812015737346,0.871191135734072,7.76344086021505
"137","Mt_adults_3","J42",18,0.657197992349243,0.8387,0.8872,0.8872,0.0547,2.49527240932208,0.87968262226847,8.31135135135135
"138","Mt_adults_3","WF22",24,0.880332549451668,0.9355,0.9531,0.9531,0.0184,3.02566402784709,0.945239334027055,18.2612826603325
"139","Mt_adults_3","PAM27",13,0.753546393092105,0.8136,0.8483,0.8483,0.041,2.08086193632574,0.840850330364838,6.28339350180505
"140","Mt_adults_3","PAM79",32,0.764441304642584,0.918,0.9578,0.9578,0.0415,3.24463818064148,0.949610319806504,19.8453333333333
"141","Mt_adults_3","WF16",20,0.616260645576733,0.8387,0.8457,0.8457,0.0083,2.24560281629843,0.838839750260146,6.20500403551251
"142","Mt_adults_3","WF33",26,0.846563443698138,0.9649,0.9514,0.9514,-0.0142,3.02627186641111,0.943213296398892,17.609756097561
"143","Mt_adults_3","WF3",10,0.582351964303279,0.7551,0.7341,0.7341,-0.0287,1.71699805154423,0.726780508121616,3.66006097560976
"144","Mt_adults_3","WF517",27,0.861463023955833,0.9344,0.9548,0.9548,0.0213,3.07520477580477,0.946788497715668,18.7929292929293
"145","Mt_adults_3","WF196",20,0.807244622379702,0.8833,0.9251,0.9251,0.0452,2.68793598953547,0.917083333333333,12.0603015075377
"146","Mt_adults_3","WF223",24,0.884016083790546,0.9167,0.9507,0.9507,0.0358,2.972558940522,0.9425,17.3913043478261
"147","Mt_adults_3","WF421",17,0.73928815203065,0.9423,0.8969,0.8969,-0.0507,2.46799368222822,0.888683431952663,8.98338870431894
"148","Mt_adults_3","A441",13,0.812765537680452,0.8704,0.8711,0.8711,8e-04,2.16908055545827,0.862997256515775,7.2991239048811
"149","Mt_adults_3","PAM21",10,0.793144105471652,0.7544,0.802,0.802,0.0594,1.77088592931186,0.79455216989843,4.86741573033708
"150","Mt_adults_3","PSY087",5,0.567391915875277,0.5161,0.4412,0.4412,-0.1699,0.864906744725459,0.43821540062435,1.78004167631396
